InsertSize	Count
121	5
122	15
123	17
124	20
125	17
126	31
127	32
128	25
129	35
130	38
131	31
132	25
133	34
134	55
135	48
136	57
137	82
138	58
139	81
140	74
141	70
142	69
143	81
144	103
145	104
146	100
147	121
148	100
149	118
150	145
151	141
152	145
153	162
154	166
155	163
156	190
157	194
158	209
159	208
160	219
161	239
162	240
163	246
164	286
165	256
166	260
167	308
168	302
169	285
170	324
171	386
172	387
173	389
174	409
175	403
176	422
177	417
178	423
179	453
180	497
181	484
182	510
183	507
184	536
185	551
186	614
187	593
188	602
189	642
190	653
191	665
192	716
193	674
194	735
195	746
196	708
197	780
198	846
199	863
200	831
201	874
202	871
203	872
204	902
205	960
206	987
207	964
208	912
209	967
210	987
211	1034
212	1041
213	1084
214	1094
215	1011
216	1101
217	1097
218	1140
219	1226
220	1192
221	1199
222	1222
223	1159
224	1183
225	1268
226	1258
227	1254
228	1210
229	1274
230	1263
231	1286
232	1250
233	1360
234	1282
235	1264
236	1321
237	1328
238	1318
239	1406
240	1373
241	1308
242	1381
243	1423
244	1466
245	1377
246	1399
247	1370
248	1406
249	1367
250	1398
251	1372
252	1330
253	1418
254	1429
255	1397
256	1354
257	1341
258	1351
259	1402
260	1431
261	1390
262	1401
263	1294
264	1378
265	1364
266	1293
267	1354
268	1309
269	1278
270	1263
271	1369
272	1324
273	1295
274	1288
275	1261
276	1273
277	1179
278	1255
279	1230
280	1193
281	1193
282	1199
283	1183
284	1148
285	1152
286	1135
287	1123
288	995
289	955
290	624
291	319
