Seq1	Seq2	Tot Score	Tot Energy	Max Score	Max Energy	Strand	Len1	Len2	Positions
asu-miR-49-5p	AgB08X_g296_t01	511.00	-76.80	215.00	-50.51	190258	25	6954	 5152 6115 3604
asu-miR-49-5p	AgB08X_g296_t02	511.00	-76.80	215.00	-50.51	190259	25	6954	 5152 6115 3604
asu-miR-49-5p	AgB08X_g296_t03	511.00	-76.80	215.00	-50.51	190260	25	7028	 5226 6189 3678
asu-miR-49-5p	AgB08X_g296_t04	511.00	-76.80	215.00	-50.51	190261	25	7078	 5276 6239 3728
asu-miR-49-5p	AgB08X_g296_t05	511.00	-76.80	215.00	-50.51	190262	25	6954	 5152 6115 3604
asu-miR-100a-5p	AgB02_g120_t01	506.00	-81.42	210.00	-47.13	310853	24	9906	 7242 2970 6776
asu-miR-100a-5p	AgB02_g120_t02	506.00	-81.42	210.00	-47.13	310854	24	9906	 7242 2970 6776
asu-miR-100a-5p	AgB02_g120_t04	506.00	-81.42	210.00	-47.13	310856	24	9906	 7242 2970 6776
asu-miR-100a-5p	AgB02_g120_t07	506.00	-81.42	210.00	-47.13	310858	24	9906	 7242 2970 6776
asu-miR-43e-5p	AgE28_g004_t01	359.00	-91.67	210.00	-54.82	302728	24	7801	 6200 6647
asu-miR-43e-5p	AgE28_g004_t02	359.00	-91.67	210.00	-54.82	302731	24	7873	 6272 6719
asu-miR-43e-5p	AgE28_g004_t03	359.00	-91.67	210.00	-54.82	302732	24	7801	 6200 6647
asu-miR-43e-5p	AgE28_g004_t04	359.00	-91.67	210.00	-54.82	302734	24	7873	 6272 6719
asu-miR-5354-5p	AgB08X_g024_t01	358.00	-71.43	210.00	-49.09	265409	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t02	358.00	-71.43	210.00	-49.09	265410	24	9121	 2103 1796
asu-miR-5354-5p	AgB08X_g024_t03	358.00	-71.43	210.00	-49.09	265412	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t04	358.00	-71.43	210.00	-49.09	265414	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t05	358.00	-71.43	210.00	-49.09	265417	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t06	358.00	-71.43	210.00	-49.09	265419	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t07	358.00	-71.43	210.00	-49.09	265420	24	9121	 2103 1796
asu-miR-5354-5p	AgB08X_g024_t08	358.00	-71.43	210.00	-49.09	265421	24	9121	 2103 1796
