SAMPLE	STUDY	ASSEMBLYNAME	ASSEMBLY_TYPE	COVERAGE	PROGRAM	PLATFORM	MINGAPLENGTH	MOLECULETYPE	DESCRIPTION	RUN_REF	FASTA	AGP	CHROMOSOME_LIST
ERS3374157	PRJEB31061	Zm-B73_AB10-REFERENCE-NAM-1.0	clone or isoloate	63	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of B73_AB10	ERR3288214,ERR3288214,ERR3309172,ERR3309173,ERR3309174,ERR3309175,ERR3309176,ERR3309177,ERR3309178,ERR3309179,ERR3309180,ERR3309181,ERR3309182,ERR3309183,ERR3309184,ERR3309185,ERR3309186,ERR3309187,ERR3309188,ERR3309189,ERR3309190,ERR3309191,ERR3309192,ERR3309193,ERR3393493,ERR3393493	B73_AB10.scaffolds-v1.fasta.gz	B73_AB10-pg_and_custom-based_v1.agp.gz	chr-list.txt.gz
ERS3371164	PRJEB32225	Zm-B73-REFERENCE-NAM-5.0	clone or isoloate	83	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of B73	ERR3288215,ERR3288215,ERR3288216,ERR3288216,ERR3288217,ERR3288217,ERR3288218,ERR3288218,ERR3288278,ERR3288279,ERR3288280,ERR3288281,ERR3288282,ERR3288283,ERR3288284,ERR3288285,ERR3288286,ERR3288287,ERR3288288,ERR3288289,ERR3288290,ERR3288291,ERR3288292,ERR3288293,ERR3288294,ERR3288295	B73.PLATINUM.scaffolds-v1.fasta.gz	B73.PLATINUM-pg_and_ibm-based_v1.agp.gz	chr-list.txt.gz
ERS3120542	PRJEB31061	Zm-B97-REFERENCE-NAM-1.0	clone or isoloate	71	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line B97	ERR3307809,ERR3307809,ERR3307810,ERR3307810,ERR3307811,ERR3307811,ERR3307812,ERR3307812,ERR3309194,ERR3309195,ERR3309196,ERR3309197,ERR3309198,ERR3309199,ERR3309200,ERR3309201,ERR3309202,ERR3309203,ERR3309204,ERR3309205,ERR3309206,ERR3309207,ERR3309208,ERR3309209,ERR3309210,ERR3309211,ERR3309212,ERR3309213,ERR3309214,ERR3309215,ERR3309216	B97.scaffolds-v1.fasta.gz	B97-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
ERS3120545	PRJEB31061	Zm-CML103-REFERENCE-NAM-1.0	clone or isoloate	72	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML103	ERR3307833,ERR3307833,ERR3307834,ERR3307834,ERR3307835,ERR3307835,ERR3307836,ERR3307836,ERR3309217,ERR3309218,ERR3309219,ERR3309220,ERR3309221,ERR3309222,ERR3309223,ERR3309224,ERR3309225,ERR3309226,ERR3309227,ERR3309228,ERR3309229,ERR3309230,ERR3309231,ERR3309232,ERR3309233,ERR3309234,ERR3309235,ERR3309236,ERR3309237,ERR3309238,ERR3309239	CML103.scaffolds-v1.fasta.gz	CML103-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
ERS3120546	PRJEB31061	Zm-CML228-REFERENCE-NAM-1.0	clone or isoloate	68	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML228	ERR3307837,ERR3307837,ERR3307838,ERR3307838,ERR3307839,ERR3307839,ERR3307840,ERR3307840,ERR3309240,ERR3309241,ERR3309242,ERR3309243,ERR3309244,ERR3309245,ERR3309246,ERR3309247,ERR3309248,ERR3309249,ERR3309250,ERR3309251,ERR3309252,ERR3309253,ERR3309254,ERR3309255,ERR3309256,ERR3309257,ERR3309258,ERR3309259,ERR3309260,ERR3309261,ERR3309262,ERR3309263,ERR3309264,ERR3309265,ERR3309266,ERR3309267	CML228.scaffolds-v1.fasta.gz	CML228-pg_gg_wallace-based_v1.agp.gz	chr-list.txt.gz
ERS3120547	PRJEB31061	Zm-CML247-REFERENCE-NAM-1.0	clone or isoloate	68	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML247	ERR3307841,ERR3307841,ERR3307842,ERR3307842,ERR3307843,ERR3307843,ERR3307844,ERR3307844,ERR3309268,ERR3309269,ERR3309270,ERR3309271,ERR3309272,ERR3309273,ERR3309274,ERR3309275,ERR3309276,ERR3309277,ERR3309278,ERR3309279,ERR3309280,ERR3309281,ERR3309282,ERR3309283,ERR3309284,ERR3309285,ERR3309286,ERR3309287,ERR3309288,ERR3309289,ERR3309290	CML247.scaffolds-v1.fasta.gz	CML247-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
ERS3120548	PRJEB31061	Zm-CML277-REFERENCE-NAM-1.0	clone or isoloate	71	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML277	ERR3307845,ERR3307845,ERR3307846,ERR3307846,ERR3307847,ERR3307847,ERR3307848,ERR3307848,ERR3309291,ERR3309292,ERR3309293,ERR3309294,ERR3309295,ERR3309296,ERR3309297,ERR3309298,ERR3309299,ERR3309300,ERR3309301,ERR3309302,ERR3309303,ERR3309304,ERR3309305,ERR3309306,ERR3309307,ERR3309308,ERR3309309,ERR3309310,ERR3309311,ERR3309312,ERR3309313,ERR3309314,ERR3309315,ERR3309316,ERR3309317	CML277.scaffolds-v1.fasta.gz	CML277-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
ERS3120549	PRJEB31061	Zm-CML322-REFERENCE-NAM-1.0	clone or isoloate	66	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML322	ERR3307849,ERR3307849,ERR3307850,ERR3307850,ERR3307851,ERR3307851,ERR3307852,ERR3307852,ERR3309318,ERR3309319,ERR3309320,ERR3309321,ERR3309322,ERR3309323,ERR3309324,ERR3309325,ERR3309326,ERR3309327,ERR3309328,ERR3309329,ERR3309330,ERR3309331,ERR3309332,ERR3309333,ERR3309334,ERR3309335	CML322.scaffolds-v1.fasta.gz	CML322-pg_and_gg-based_v2.agp.gz	chr-list.txt.gz
ERS3120550	PRJEB31061	Zm-CML333-REFERENCE-NAM-1.0	clone or isoloate	63	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML333	ERR3307853,ERR3307853,ERR3307854,ERR3307854,ERR3307855,ERR3307855,ERR3307856,ERR3307856,ERR3309336,ERR3309337,ERR3309338,ERR3309339,ERR3309340,ERR3309341,ERR3309342,ERR3309343,ERR3309344,ERR3309345,ERR3309346,ERR3309347,ERR3309348,ERR3309349,ERR3309350,ERR3309351,ERR3309352,ERR3309353,ERR3309354,ERR3309355,ERR3309356	CML333.scaffolds-v1.fasta.gz	CML333-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
ERS3120543	PRJEB31061	Zm-CML52-REFERENCE-NAM-1.0	clone or isoloate	69	Canu 1.8	PacBio SEQUEL	13	genomic DNA	whole genome assembly of NAM founder line CML52	ERR3307813,ERR3307813,ERR3307814,ERR3307814,ERR3307815,ERR3307815,ERR3307816,ERR3307816,ERR3307817,ERR3307817,ERR3307818,ERR3307818,ERR3307819,ERR3307819,ERR3307820,ERR3307820,ERR3307821,ERR3307821,ERR3307822,ERR3307822,ERR3307823,ERR3307823,ERR3307824,ERR3307824,ERR3307825,ERR3307825,ERR3307826,ERR3307826,ERR3307827,ERR3307827,ERR3307828,ERR3307828,ERR3309357,ERR3309358,ERR3309359,ERR3309360,ERR3309361,ERR3309362,ERR3309363,ERR3309364,ERR3309365,ERR3309366,ERR3309367,ERR3309368,ERR3309369,ERR3309370,ERR3309371,ERR3309372,ERR3309373,ERR3309374,ERR3309375,ERR3309376,ERR3309377,ERR3309378,ERR3309379,ERR3309380,ERR3309381,ERR3309382	CML52.scaffolds-v1.fasta.gz	CML52-pg_and_gg-based_v1.agp.gz	chr-list.txt.gz
